Denominazione,Codice fiscale,Natura giuridica,Comune,Codice Ateco,Classe Valore della Produzione,Classe di Addetti,Classe di Capitale,Costituzione Impresa,Sezione Startup,Tag
VB WEB S.R.L.,02850330990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,1-100K euro,non disponibile,250K-500K euro,05/12/2022,13/12/2022,"FinanzaAgevolata, B2B, piattaformeinnovative"
ARKADIA SRL,01798540082,SOCIETA' A RESPONSABILITA' LIMITATA,IMPERIA (IM),721029,1-100K euro,0-4 addetti,5K-10K euro,10/06/2024,20/06/2024,"RICERCAESVILUPPO, EdgeComputing, INTELLIGENZAARTIFICIALE"
PICKEAT S.R.L.,01841350091,SOCIETA' A RESPONSABILITA' LIMITATA,ALBENGA (SV),631010,1-100K euro,non disponibile,5K-10K euro,28/07/2021,09/02/2024,"EVENTI, eventisportivi, fiere"
CLIMAX INNOVATION S.R.L.,02915210997,SOCIETA' A RESPONSABILITA' LIMITATA,RAPALLO (GE),629009,1-100K euro,non disponibile,5K-10K euro,15/11/2023,17/11/2023,"shortrent, affittibrevi, depositobagagli"
LAVANDA 360 S.R.L.,01738020088,SOCIETA' A RESPONSABILITA' LIMITATA,BORDIGHERA (IM),721029,1-100K euro,non disponibile,1-5K euro,16/06/2021,29/06/2021,"lavanda, estrazione, CircularEconomy"
AIRFIELD SECURITY S.R.L.,02961040991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),622010,1-100K euro,non disponibile,5K-10K euro,18/06/2024,04/07/2024,CYBERSECURITY
PAGGIO S.R.L.,02837650999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,100K-500K euro,0-4 addetti,100K-250K euro,15/09/2022,26/09/2022,"LOGISTICA, TRASPORTI, Monitoraggio"
WEWO S.R.L.,02822840993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,250K-500K euro,06/06/2022,09/06/2022,"INNOVAZIONEDIGITALE, RICERCAESVILUPPO, AppMobile"
AZIONA SOCIETA' A RESPONSABILITA' LIMITATA,02722560998,SOCIETA' A RESPONSABILITA' LIMITATA,ARENZANO (GE),621000,100K-500K euro,non disponibile,10K-50K euro,28/01/2021,15/02/2021,"SOFTWARE&SERVICES, SOFTWARE, Energy"
ABLAZING SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,02828360996,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,GENOVA (GE),622010,1-100K euro,non disponibile,1-5K euro,07/07/2022,04/08/2022,"blockchain, SmartContract, nft"
PREVENZIONE A TAVOLA SOCIETA' A RESPONSABILITA' LIMITATA O IN FORMA ABBREVIATA PREVENZIONE A TAVOLA S.R.L.,02739610992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,500K-1M euro,5-9 addetti,10K-50K euro,12/04/2021,19/04/2021,"CIBOITALIANO, SALUTE, Prevenzione"
MR. POT STILL SRL,02772360992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),731102,500K-1M euro,0-4 addetti,10K-50K euro,11/10/2021,25/10/2021,"ECOMMERCE, distillati, MediaCompany"
NEUROTRONIKA S.R.L.,03013950997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,non disponibile,5K-10K euro,15/04/2025,29/04/2025,"Epilepsy, Neurotechnology, Neuromodulation"
XEROMER S.R.L.,02819180999,SOCIETA' A RESPONSABILITA' LIMITATA,CHIAVARI (GE),721029,1-100K euro,0-4 addetti,10K-50K euro,13/05/2022,01/08/2022,"criptografia, RICERCAESVILUPPO, RICERCAESVILUPPO"
BAYESIAN ESTIMATION FOR ENGINEERING SOLUTIONS S.R.L.,02753300991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,10K-50K euro,18/06/2021,14/01/2022,"softwaredevelopment, Neuroscience, Simulation"
CLEAR S.R.L. S.B.,02892600996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),71202,1-100K euro,non disponibile,10K-50K euro,12/06/2023,28/06/2023,"campionamenti, sigillatura, Monitoraggio"
REPLAYER S.R.L.,02685150993,SOCIETA' A RESPONSABILITA' LIMITATA,RECCO (GE),639100,1-100K euro,non disponibile,100K-250K euro,01/07/2020,17/07/2020,"ArtificialIntelligence, prenotazioneonline, telecamerehd"
LUMA ON S.R.L.,03016790994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,0-4 addetti,5K-10K euro,05/05/2025,13/05/2025,
CORTICALE S.R.L.,02728520996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),261100,1M-2M euro,5-9 addetti,100K-250K euro,22/02/2021,01/03/2021,"Neurotechnologies, NeuralInterface, BCI"
AQUILIA S.R.L.,01905820096,SOCIETA' A RESPONSABILITA' LIMITATA,LAIGUEGLIA (SV),621000,1-100K euro,non disponibile,5K-10K euro,05/08/2024,09/08/2024,"valorizzazionepatrimonioculturale, APP"
FILIGRANA S.R.L.,02968650990,SOCIETA' A RESPONSABILITA' LIMITATA,CAMPO LIGURE (GE),731102,1-100K euro,0-4 addetti,5K-10K euro,05/08/2024,08/08/2024,"gioielliartigianali, eCommerce"
TUIT SRL,02711030995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,50K-100K euro,11/12/2020,13/01/2021,trasporti
DEEP BLUE S.R.L.,01920580097,SOCIETA' A RESPONSABILITA' LIMITATA,VARAZZE (SV),463420,non disponibile,non disponibile,5K-10K euro,02/04/2025,09/05/2025,
GREEN4VET SOCIETA' A RESPONSABILITA' LIMITATA,03012530998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),750000,non disponibile,non disponibile,1-5K euro,10/04/2025,05/05/2025,
LORDS OF ILLUSION S.R.L,02884010998,SOCIETA' A RESPONSABILITA' LIMITATA,RAPALLO (GE),582100,1-100K euro,non disponibile,10K-50K euro,28/04/2023,12/05/2023,"Videogiochi, RealtaVirtuale, previsualizzazione"
DIGITAL-D S.R.L.,02823880998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,100K-250K euro,10/06/2022,13/06/2022,"DIGITAL, DIGITALEXPERIENCE, DIGITALTOURISM"
ALPHA CAPITAL S.R.L.,02770890990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,non disponibile,500K-1M euro,07/10/2021,21/10/2021,"MachineLearning, Algoritmi, DeepLearning"
THE METER S.R.L.,02844710992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),265129,100K-500K euro,0-4 addetti,10K-50K euro,24/10/2022,02/11/2022,"Scanner3D, IngegneriaCivile, Architecture"
THE VELVET KNIFE S.R.L.,01547410116,SOCIETA' A RESPONSABILITA' LIMITATA,SARZANA (SP),639100,1-100K euro,non disponibile,5K-10K euro,24/10/2022,24/03/2023,"magazine, Lifestyle, Edutainment"
BE BOLD SRL IN LIQUIDAZIONE,01566260111,SOCIETA' A RESPONSABILITA' LIMITATA,LA SPEZIA (SP),639100,1-100K euro,non disponibile,1-5K euro,22/12/2023,11/01/2024,COACHING
UNI-CO.LIVE GENOVA SRL,02686480993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),681200,non disponibile,non disponibile,5K-10K euro,07/07/2020,20/08/2021,"unicolive, universalcoliving"
D ZERO S.R.L.,03006000990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,100K-250K euro,05/03/2025,31/03/2025,"piattaformeweb, diabete, salute"
MALPHA.NET SOCIETA' A RESPONSABILITA' LIMITATA,01796130084,SOCIETA' A RESPONSABILITA' LIMITATA,PONTEDASSIO (IM),621000,non disponibile,non disponibile,10K-50K euro,03/05/2024,10/02/2025,ARTIFICIALINTELLIGENCE
FORMA 1 SOCIETA' BENEFIT S.R.L.,02885570990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,10K-50K euro,11/05/2023,30/05/2023,"Sicurezzasullavoro, FORMAZIONEESICUREZZA, formazioneprofessionale"
ECONZEB S.R.L.,03001420995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,non disponibile,1-5K euro,11/02/2025,01/04/2025,
COMPROIMPRESA.IT SRL,02995600992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,non disponibile,non disponibile,10K-50K euro,16/01/2025,01/04/2025,
CAGNOLINI TIPITIPITI S.R.L.,03007220993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,13/03/2025,02/04/2025,
INTELLITRUST S.R.L.,02956260992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,5K-10K euro,20/05/2024,04/06/2024,"SOFTWARE, BLOCKCHAIN, ARTIFICIALINTELLIGENCE"
UNCONVENTIONAL MINDS S.R.L.,02999270990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),702009,non disponibile,0-4 addetti,10K-50K euro,07/02/2025,27/03/2025,"Robotics, ArtificialIntelligence, mechatronics"
H.A.T. HIGH ABILITY TECHNOLOGIES SRL,01790240087,SOCIETA' A RESPONSABILITA' LIMITATA,LUCINASCO (IM),621000,1-100K euro,non disponibile,5K-10K euro,01/02/2024,28/03/2025,
AVINTAR SOCIETA' A RESPONSABILITA' LIMITATA,01587610112,SOCIETA' A RESPONSABILITA' LIMITATA,LA SPEZIA (SP),621000,non disponibile,non disponibile,5K-10K euro,24/02/2025,05/03/2025,"StartUpInnovativa, IntelligenzaArtificiale, Software&Services"
UPCIRCUIT S.R.L.,02975380995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),293100,non disponibile,non disponibile,1-5K euro,02/10/2024,10/10/2024,"TransizioneEcologica, Elettronica, Firmware"
UPWARDIP S.R.L.,02975280997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),282991,non disponibile,non disponibile,1-5K euro,02/10/2024,11/10/2024,"STAMPA3D, resine, sterilizzazione"
UPBIOCARE S.R.L.,02700940998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),32999,100K-500K euro,non disponibile,10K-50K euro,09/10/2020,30/11/2020,"MedicalDevices, AdditiveManufacturing, Consulenze"
BAGSHAPE SOCIETA' BENEFIT S.R.L.,02993420997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),7411,non disponibile,non disponibile,5K-10K euro,08/01/2025,29/01/2025,
MISTRAL S.R.L.,02985750997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),622010,non disponibile,non disponibile,5K-10K euro,17/12/2024,20/01/2025,
AILOX SOCIETA' A RESPONSABILITA' LIMITATA SOCIETA' BENEFIT,02970850992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,5K-10K euro,03/09/2024,07/01/2025,
SHAREAT S.R.L.,02817130996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,1-5K euro,29/04/2022,07/06/2023,"APP, Food, Photography"
AUTSYS S.R.L.S.,02847140999,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,GENOVA (GE),621000,non disponibile,non disponibile,1 euro,10/11/2022,14/07/2023,INFORMATICA
CENTRO CLINICO SAN GIORGIO SRL,02985010996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,06/12/2024,18/12/2024,
FAIR TO SHARE SOCIETA' BENEFIT S.R.L.,02980340992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),73300,non disponibile,non disponibile,5K-10K euro,28/10/2024,19/11/2024,
NEOEAST SOCIETA' COOPERATIVA,01581120118,SOCIETA' COOPERATIVA,LA SPEZIA (SP),799004,non disponibile,non disponibile,non disponibile,22/10/2024,11/11/2024,
NETMTECH - SOCIETA' A RESPONSABILITA' LIMITATA IN LIQUIDAZIONE,02773520990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),629009,1-100K euro,non disponibile,5K-10K euro,21/10/2021,15/11/2024,
CLOUD2LEGAL S.R.L.,02979830995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,0-4 addetti,5K-10K euro,31/10/2024,05/11/2024,
BITCRUMBS S.R.L.,02821200991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,1-5K euro,25/05/2022,13/06/2022,"SVILUPPOSOFTWARE, BLOCKCHAIN, ECOMMERCE"
AGAIN SRL,02976770996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,10K-50K euro,10/10/2024,17/10/2024,
PROFACERE SRL,02569770999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),282,non disponibile,non disponibile,10K-50K euro,15/11/2018,05/12/2018,"macchinari, riconfigurabile, INDUSTRIA40"
INNOVAMARKET SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,02754020994,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,GENOVA (GE),829999,1-100K euro,0-4 addetti,1-5K euro,22/06/2021,26/09/2022,"LocalBusiness, MARKETPLACE, GREENDELIVERY"
ANQA SERVICES S.R.L.S.,02915550996,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,GENOVA (GE),721029,1-100K euro,non disponibile,1-5K euro,16/11/2023,11/09/2024,
PARTNERSINCROWD S.R.L.,02594050995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,1-100K euro,non disponibile,10K-50K euro,18/02/2019,17/04/2019,PARTNERSINCROWD
OXYERA SOCIETA' BENEFIT S.R.L.,02966660991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,non disponibile,non disponibile,10K-50K euro,22/07/2024,30/08/2024,
VEGA RESEARCH LABORATORIES S.R.L.,02497710992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,1-100K euro,non disponibile,1-5K euro,24/10/2017,22/05/2019,"ICT, pharmaceutical"
SMARTERIS SRL,02659750992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,1-5K euro,31/01/2020,05/02/2020,"software, Lavoro, Piattaformadigitale"
ESPORTECH S.R.L.,02778730990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),629009,1-100K euro,0-4 addetti,50K-100K euro,23/11/2021,16/12/2021,Esports
INVACTION SRL,02660310992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),309120,100K-500K euro,non disponibile,1-5K euro,23/01/2020,15/03/2023,aaaaaa
NAN S.R.L.,02731960999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,10K-50K euro,05/03/2021,15/03/2021,"PagamentiDigitali, contratti, PMInnovation"
FROG REVOLUTION S.R.L.,02534570995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),731101,500K-1M euro,0-4 addetti,5K-10K euro,28/02/2018,08/05/2018,"Comunicazione, Design, Eventi"
IO SURGICAL RESEARCH S.R.L.,02670440995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,non disponibile,5K-10K euro,15/04/2020,20/04/2020,"BIOMEDICALE, IntelligenzaArtificiale, roboticachirurgica"
AISEEK SOCIETA' A RESPONSABILITA' LIMITATA,02552610996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,non disponibile,50K-100K euro,24/07/2018,31/10/2018,"ICT, ArtificialIntelligen, Software&Services"
ADI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,02814940991,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,GENOVA (GE),72200,non disponibile,non disponibile,1-5K euro,21/04/2022,20/05/2022,"RICERCA, Sanitadigitale, TELEMEDICINA"
EASYSTERILL S.R.L.,02814010993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,1-100K euro,non disponibile,5K-10K euro,14/04/2022,29/04/2022,
ACOESIS SRL IN LIQUIDAZIONE,02588250999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),264009,100K-500K euro,0-4 addetti,10K-50K euro,31/01/2019,19/02/2019,"acoustics, inclusion, hearing"
HYDROGENIA S.R.L.,02722700990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,non disponibile,10K-50K euro,22/01/2021,28/03/2022,
MAZZEI RESEARCH S.R.L. UNIPERSONALE,02803770995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,26/02/2022,10/03/2022,
MERCOU S.R.L.,02782120998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),829999,1-100K euro,non disponibile,10K-50K euro,19/10/2021,31/12/2021,
BONINO 1933 S.R.L.,02485990994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),47711,1-100K euro,0-4 addetti,50K-100K euro,01/08/2017,14/08/2017,"Genovastyle, taylormade, luxuryquality"
LETYOURBOAT S.R.L. IN LIQUIDAZIONE,02560230993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,non disponibile,0-4 addetti,50K-100K euro,19/09/2018,26/09/2018,"Ecommerce, portale, web"
HELIOS FINTECH S.R.L. SOCIETA' BENEFIT IN LIQUIDAZIONE,02768370997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,1-5K euro,28/09/2021,08/10/2021,"BlockChain, PersonalFinanceMgmt, artificialintelligence"
PEEKI S.R.L. IN LIQUIDAZIONE,02711320990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,1-5K euro,05/12/2020,30/12/2020,"Retail, Marketplace, Software&Services"
MOTUSCODE SRL,02762340996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,10/08/2021,24/01/2023,
HUMANA VOX SRL,02484580994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,10K-50K euro,19/07/2017,29/08/2017,"eHealth, assistenzadigitale"
LESSON BOOM SRL IN LIQUIDAZIONE,02620810990,SOCIETA' A RESPONSABILITA' LIMITATA,MASONE (GE),799004,1-100K euro,0-4 addetti,10K-50K euro,17/06/2019,12/08/2019,scisporthobby
HOOPY SRL,02612910998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,5K-10K euro,03/05/2019,17/05/2019,"Piattaforma, personaltrainingondemand, ptondemand"
HEALTH AND ENVIRONMENTAL ASSESSMENT TECHNOLOGIES S.R.L.,02819370996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,10K-50K euro,17/05/2022,25/07/2022,
DAHLIA S.R.L.,02480880992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),465010,1-100K euro,non disponibile,10K-50K euro,23/06/2017,09/05/2018,Commercio
SELENE SHIPYARDS S.R.L,04596550279,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),256320,100K-500K euro,0-4 addetti,250K-500K euro,13/02/2020,27/02/2020,"PROGETTAZIONESTAMPI, Prototipazione, progettazione"
XIONGMAO GROUP S.R.L.,02724810995,SOCIETA' A RESPONSABILITA' LIMITATA,LAVAGNA (GE),522509,1-100K euro,non disponibile,1-5K euro,25/01/2021,19/02/2021,"LOGISTICA, ECOMMERCE, CONSULENZAAZIENDALE"
LA COMPAGNIA DI SAN GIORGIO S.R.L.,02549270995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),463410,1-100K euro,0-4 addetti,5K-10K euro,21/06/2018,16/07/2018,"Bevande, distillati, Commercio"
DEV.INN.TECH S.R.L.,02505550992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),332009,1-100K euro,non disponibile,10K-50K euro,07/12/2017,28/12/2017,"industria, energia, piattaformaweb"
LUMINOUSBEES S.R.L.,02500100991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),261200,100K-500K euro,0-4 addetti,10K-50K euro,08/11/2017,14/11/2017,"droneshow, drones, entertainment"
DEVJAM S.R.L.,02888890999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,5K-10K euro,30/05/2023,29/06/2023,
GEOSCAPE SOCIETA' COOPERATIVA,02594600997,SOCIETA' COOPERATIVA,GENOVA (GE),711250,100K-500K euro,non disponibile,1-5K euro,13/02/2019,04/03/2019,"GEOLOGIA, INNOVAZIONEDIGITALE, Biologia"
RESILIA SERVICE S.R.L.,07060770489,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,10K-50K euro,05/01/2021,26/04/2021,"serviziallapersona, APP, TECNOLOGIA"
SMART-HOME S.R.L.,02794590998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,non disponibile,5K-10K euro,01/02/2022,21/02/2022,"Informatica, domoticaAlberghiera, realtaaumentata"
ZENABYTE S.R.L.,02520340999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,5K-10K euro,01/02/2018,09/02/2018,"DataScience, BigData, RISKASSESSMENT"
HYDRO MAINTENANCE SERVICE - ITALIA S.R.L.,02615540990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),289999,1-100K euro,0-4 addetti,100K-250K euro,20/05/2019,25/11/2021,idroelettrico
FIRMODOC S.R.L. SOCIETA' BENEFIT,02942030996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,10K-50K euro,29/02/2024,08/03/2024,
BH MEDICAL CENTER S.R.L.,02919260998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,0-4 addetti,50K-100K euro,13/12/2023,27/12/2023,Health
GEOMONT S.R.L. S.B.,02920800998,SOCIETA' A RESPONSABILITA' LIMITATA,MONTOGGIO (GE),621000,non disponibile,non disponibile,5K-10K euro,28/12/2023,09/01/2024,
INFINI SERVICE S.R.L.,02919960993,SOCIETA' A RESPONSABILITA' LIMITATA,RAPALLO (GE),621000,1-100K euro,non disponibile,1-5K euro,18/12/2023,28/12/2023,"WEBAPP, AI, TURISMO"
GOLFUTURE S.R.L. IN LIQUIDAZIONE,02918050994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,50K-100K euro,01/12/2023,12/12/2023,
RUPNIK S.R.L.,02682920992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,100K-500K euro,non disponibile,5K-10K euro,17/06/2020,28/01/2022,processflowtechnology
MAZO ENERGY TECH S.R.L.,02695710992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,1-100K euro,non disponibile,5K-10K euro,11/09/2020,02/10/2020,ENERGIARINNOVABILE
KALDEV SRL IN LIQUIDAZIONE,02795480991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,100K-250K euro,26/01/2022,11/02/2022,softwarevideo
2C S.R.L.,02770720999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,06/10/2021,20/10/2021,ipovisione
PUNCH SRL IN LIQUIDAZIONE,02753670997,SOCIETA' A RESPONSABILITA' LIMITATA,CHIAVARI (GE),471,100K-500K euro,0-4 addetti,50K-100K euro,18/06/2021,30/06/2021,Wine
CODIA EUROPE SRL,02898740994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,5K-10K euro,27/07/2023,02/08/2023,SOFTWARE&SERVICES
MAKE EAT EASY S.R.L.,02634020990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,0-4 addetti,1-5K euro,16/09/2019,17/09/2019,"SOCIALNETWORK, food, salute"
SHOPTHELOOK S.R.L.,02733760991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,100K-500K euro,0-4 addetti,10K-50K euro,22/02/2021,18/03/2021,"Virtual&AugmentedReality, VirtualDesign, nocode"
SYNGASCUBE S.R.L.,02697520993,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,non disponibile,10K-50K euro,18/09/2020,09/12/2020,ECOLOGIA
CATEMISSION S.R.L.,02751930997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),282991,2M-5M euro,0-4 addetti,"1M-2,5M euro",11/06/2021,18/06/2021,CleanAir
ONDA LAB S.R.L.,02953450992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),702009,non disponibile,non disponibile,10K-50K euro,06/05/2024,22/05/2024,
DESIGNERCREATIVO S.R.L.,02673110991,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),639100,1-100K euro,0-4 addetti,1-5K euro,28/02/2020,23/04/2020,"cibo, food, delivery"
ANTISISMICAM SOCIETA' A RESPONSABILITA' LIMITATA,02482550999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),251100,100K-500K euro,0-4 addetti,5K-10K euro,12/07/2017,29/03/2018,antisismicam
BLONDE SISTER S.R.L.,02689900997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),471,500K-1M euro,0-4 addetti,50K-100K euro,20/07/2020,07/09/2020,COSMETICA
YOLOGROUP - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA UNIPERSONALE,02869730990,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,GENOVA (GE),279009,non disponibile,non disponibile,1-5K euro,10/02/2023,02/04/2024,
IDEAL T GENERAL CONTRACTOR SRL,02753780994,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),439909,1-100K euro,0-4 addetti,10K-50K euro,16/06/2021,17/09/2021,Tecnologia
IRONDOM LIGURIA SRL,02751030996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),439909,1-100K euro,non disponibile,10K-50K euro,31/05/2021,28/07/2021,SVILUPPO
ANTHILL - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,02641290990,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,GENOVA (GE),621000,1-100K euro,0-4 addetti,1 euro,18/10/2019,13/06/2022,SoftwareHouse
ALPHA MARE SRL,02744790995,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,1-100K euro,non disponibile,1-5K euro,06/05/2021,14/07/2021,"Imbarcazione, marittimo"
BEAUTYCIANS S.P.A.,02799910993,SOCIETA' PER AZIONI,GENOVA (GE),204200,500K-1M euro,0-4 addetti,500K-1M euro,14/02/2022,04/03/2022,"estetica, BENESSERE, welltech"
ARMS S.R.L.,02622820997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),289920,1-100K euro,0-4 addetti,500K-1M euro,28/06/2019,05/07/2019,"Automazione, LOGISTICA"
